Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance
35.0,4.6,Windy,Medium,1,scooter,1.0,0,Metropolitian,26,11.019829276905222
38.0,4.7,Sandstorms,High,2,motorcycle,1.0,0,Metropolitian,29,6.043749278967768
36.0,4.8,Stormy,Low,2,electric_scooter,0.0,0,Urban,17,19.997975788016085
27.0,5.0,Stormy,Medium,2,motorcycle,0.0,0,Metropolitian,24,6.057757414687626
38.0,4.7,Cloudy,Jam,0,motorcycle,1.0,0,Metropolitian,46,13.637078105245337
29.0,4.4,Sandstorms,Low,0,motorcycle,0.0,0,Metropolitian,16,1.531557710761832
36.0,4.7,Windy,Low,1,motorcycle,1.0,0,Metropolitian,19,20.20486115262982
28.0,4.6,Sandstorms,Low,1,motorcycle,0.0,0,Metropolitian,18,3.021978982664088
23.0,4.2,Fog,Medium,2,scooter,1.0,0,Metropolitian,36,11.918014313355265
38.0,4.9,Windy,Jam,2,scooter,1.0,0,Metropolitian,29,8.997932037851019
29.566910587697237,4.6337736972250205,Stormy,Jam,1,scooter,1.0,0,Metropolitian,31,7.770254517379587
28.0,4.1,Fog,Jam,2,scooter,2.0,0,Metropolitian,40,19.111685571932888
38.0,4.8,Sunny,Medium,2,scooter,0.0,0,Urban,28,10.820252300820393
36.0,4.2,Cloudy,Medium,0,motorcycle,1.0,0,Metropolitian,33,9.203115100317152
34.0,4.7,Sandstorms,Medium,0,motorcycle,1.0,0,Metropolitian,28,9.33730372793647
20.0,5.0,Windy,Low,2,electric_scooter,0.0,0,Metropolitian,16,9.32514332677344
33.0,4.7,Sunny,Jam,1,scooter,0.0,0,Metropolitian,26,16.40235311189161
34.0,5.0,Cloudy,Low,2,motorcycle,1.0,0,Metropolitian,18,1.5110978885039512
28.0,4.5,Sunny,Medium,1,scooter,0.0,0,Metropolitian,15,9.373873493546824
20.0,4.9,Fog,Low,0,motorcycle,1.0,0,Metropolitian,20,1.5110155655117476
36.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,0,Metropolitian,29,13.78887125676522
30.0,4.8,Windy,Medium,1,scooter,1.0,0,Metropolitian,25,10.576737055022344
22.0,4.1,Sandstorms,Medium,0,motorcycle,0.0,0,Urban,38,16.842817193834133
32.0,4.9,Fog,Medium,2,scooter,1.0,0,Urban,17,4.662464538831006
29.566910587697237,4.6337736972250205,Stormy,Jam,2,scooter,1.0,0,Metropolitian,35,11.929675928833168
25.0,4.8,Cloudy,Low,2,motorcycle,1.0,0,Metropolitian,19,1.5316694900186862
31.0,4.8,Cloudy,High,0,motorcycle,1.0,0,Metropolitian,30,3.119671906470932
20.0,4.9,Stormy,Jam,1,scooter,1.0,0,Metropolitian,25,19.784085467258944
23.0,4.6,Sandstorms,Jam,0,motorcycle,1.0,0,Metropolitian,33,19.99614662821561
37.0,4.7,Stormy,Low,2,scooter,1.0,0,Metropolitian,23,1.5115929583748755
35.0,4.9,Stormy,Low,2,scooter,0.0,0,Urban,23,3.0222284461861717
39.0,4.8,Fog,Medium,0,motorcycle,1.0,0,Metropolitian,31,4.601489963024398
20.0,4.8,Cloudy,High,1,scooter,1.0,0,Metropolitian,22,2.9828724716935158
29.566910587697237,4.6337736972250205,Sunny,Low,0,motorcycle,1.0,0,Metropolitian,39,10.91912413854982
39.0,4.6,Cloudy,Jam,0,motorcycle,1.0,0,Metropolitian,27,9.35870482132579
35.0,4.9,Sunny,Low,1,scooter,0.7446345675136238,0,Urban,24,10.717385477712131
28.0,4.7,Sunny,Jam,0,motorcycle,1.0,0,Metropolitian,23,20.30905911984528
36.0,4.5,Sandstorms,Jam,1,motorcycle,1.0,0,Metropolitian,40,13.407423026403958
